"CommR","topKw"
1,"learning science"
2,"learning environment"
3,"high school"
4,"learning science"
5,"learning environment"
6,"student learning"
7,"middle school"
8,"middle school"
9,"preliminary result"
10,"learning science"
11,"formal informal"
12,"high school"
13,"case study"
15,"learning science"
16,"student learning"
17,"preliminary finding"
18,"building community"
19,"case study"
20,"science technology"
22,"disciplinary practice"
23,"design-based research"
24,"case study"
25,"learning environment"
26,"knowledge building"
27,"case study"
29,"preliminary result"
30,"learning activity"
31,"learning science"
32,"student learning"
34,"learning environment"
35,"middle school"
39,"learning environment"
40,"learning environment"
42,"learning environment"
44,"computational thinking"
45,"focus group"
46,"student learning"
47,"learning progression"
48,"high school"
49,"virtual world"
50,"knowledge forum"
52,"ethnographic study"
53,"scientific practice"
54,"conceptual understanding"
55,"learning environment"
56,"middle school"
57,"university student"
58,"collaborative learning"
59,"professional development"
60,"pilot study"
61,"engineering design"
62,"learning environment"
63,"learning science"
64,"learning environment"
66,"design principle"
68,"knowledge construction"
69,"learning science"
70,"middle school"
71,"learning environment"
72,"design-based research"
73,"learning environment"
74,"learning tool"
75,"student learning"
76,"design-based research"
77,"learning community"
78,"learning environment"
79,"case study"
80,"science classroom"
81,"learning science"
82,"community practice"
83,"student learning"
84,"teacher student"
85,"learning environment"
87,"field study"
88,"undergraduate student"
89,"data collection"
90,"learning environment"
91,"group student"
92,"preliminary finding"
93,"learning science"
95,"learning environment"
96,"learning process"
97,"learning progression"
98,"student knowledge"
99,"high school"
100,"community practice"
101,"learning environment"
102,"school science"
103,"learning experience"
104,"learning process"
105,"high school"
106,"content knowledge"
107,"learning experience"
108,"small group"
109,"learning environment"
110,"student learning"
111,"design-based research"
112,"learning environment"
113,"learning science"
114,"learning environment"
115,"learning environment"
116,"learning science"
117,"middle school"
118,"social interaction"
119,"support learning"
120,"learning experience"
121,"learning environment"
122,"student work"
123,"collaborative learning"
124,"teacher student"
125,"high school"
126,"learning science"
127,"theoretical framework"
128,"collaborative learning"
129,"elementary school"
130,"case study"
131,"science education"
132,"scientific practice"
133,"learning environment"
134,"problem solving"
135,"community practice"
136,"student knowledge"
138,"teacher student"
140,"middle school"
141,"learning environment"
142,"knowledge building"
143,"learning environment"
144,"collaborative activity"
NA,"learning environment"
