"CommR","topKw"
1,"collaborative learning"
2,"learning environment"
3,"learning environment"
4,"learning outcome"
5,"learning science"
6,"theoretical framework"
7,"case study"
8,"high school"
9,"collaborative learning"
11,"science teacher"
12,"concept map"
13,"collaborative learning"
14,"learning environment"
15,"learning environment"
16,"case study"
18,"learning science"
19,"science education"
20,"middle school"
22,"problem solving"
23,"professional development"
24,"student learning"
25,"science curriculum"
26,"learning process"
28,"learning process"
30,"science learning"
31,"augmented reality"
32,"student teacher"
33,"design-based research"
34,"prior knowledge"
35,"learning environment"
36,"learning environment"
37,"video data"
38,"learning environment"
39,"collaborative learning"
40,"problem solving"
41,"group student"
42,"interaction analysis"
43,"learning environment"
44,"learning environment"
45,"knowledge building"
47,"university student"
50,"professional development"
51,"middle school"
52,"science education"
53,"mixed method"
54,"high school"
55,"learning process"
56,"undergraduate student"
57,"preliminary result"
58,"learning experience"
60,"secondary school"
61,"knowledge building"
62,"learning environment"
63,"learning environment"
64,"case study"
65,"group member"
66,"learning science"
67,"coding scheme"
68,"learning outcome"
69,"collaborative learning"
70,"video game"
71,"learning environment"
72,"learning science"
73,"problem solving"
74,"learning environment"
75,"learning environment"
76,"learning outcome"
77,"collaborative learning"
78,"learning environment"
79,"learning environment"
80,"learning environment"
81,"collaborative learning"
82,"middle school"
83,"knowledge building"
84,"learning environment"
85,"learning science"
87,"research design"
88,"classroom activity"
89,"learning environment"
90,"conceptual understanding"
92,"prior knowledge"
93,"collaborative learning"
94,"group discussion"
95,"problem solving"
96,"content knowledge"
97,"scientific practice"
98,"learning environment"
99,"collaborative learning"
100,"complex system"
102,"learning technology"
103,"design principle"
104,"case study"
105,"learning environment"
106,"collaborative process"
107,"learning environment"
NA,"learning environment"
