"CommR","topKw"
1,"learning science"
2,"design process"
3,"learning environment"
4,"learning design"
5,"learning environment"
6,"learning environment"
7,"learning environment"
10,"social interaction"
11,"learning environment"
12,"university student"
13,"problem solving"
14,"science education"
15,"learning process"
16,"learning environment"
17,"case study"
18,"prior knowledge"
19,"learning environment"
20,"environment student"
21,"learning environment"
22,"high school"
23,"learning environment"
24,"empirical study"
25,"design principle"
26,"learning experience"
27,"theoretical framework"
28,"collaborative learning"
29,"conceptual understanding"
30,"learning environment"
31,"science learning"
32,"collaborative learning"
33,"collaborative learning"
34,"learning environment"
35,"educational research"
36,"student teacher"
37,"learning environment"
38,"learning activity"
39,"learning environment"
40,"preliminary result"
41,"learning environment"
42,"learning environment"
43,"high school"
44,"student learning"
45,"learning environment"
46,"learning environment"
47,"instructional design"
48,"learning environment"
49,"middle school"
50,"middle school"
51,"theoretical framework"
52,"qualitative study"
53,"collaborative learning"
54,"learning environment"
55,"student learning"
56,"learning community"
57,"science education"
58,"learning environment"
NA,"learning environment"
