"CommR","topKw"
1,"collaborative learning"
2,"collaboration script"
3,"collaborative learning"
4,"knowledge forum"
5,"learning environment"
6,"student work"
7,"learning environment"
8,"knowledge construction"
9,"learning environment"
10,"learning environment"
11,"collaborative learning"
13,"learning environment"
14,"learning process"
15,"teacher student"
17,"learning environment"
18,"learning science"
20,"learning environment"
21,"learning environment"
22,"collaborative learning"
23,"learning environment"
24,"learning environment"
25,"learning environment"
26,"learning environment"
27,"learning system"
28,"conceptual understanding"
29,"learning environment"
30,"learning environment"
32,"learning environment"
33,"collaborative learning"
34,"learning environment"
36,"learning environment"
38,"learning environment"
39,"learning environment"
40,"learning environment"
42,"learning environment"
43,"learning environment"
44,"learning environment"
45,"professional development"
46,"learning environment"
47,"learning environment"
48,"learning environment"
50,"learning environment"
51,"learning environment"
52,"case study"
53,"learning environment"
54,"learning environment"
55,"learning environment"
56,"learning environment"
57,"learning environment"
58,"learning environment"
59,"learning experience"
60,"learning environment"
61,"learning activity"
62,"group member"
63,"learning environment"
66,"learning environment"
68,"case study"
69,"learning environment"
70,"environment student"
71,"learning environment"
72,"learning environment"
73,"learning environment"
74,"learning environment"
75,"learning environment"
76,"learning environment"
78,"learning environment"
80,"learning environment"
81,"learning environment"
82,"case study"
83,"learning environment"
84,"design principle"
85,"learning environment"
86,"learning environment"
87,"learning environment"
88,"case study"
89,"learning environment"
90,"learning environment"
91,"professional development"
92,"learning environment"
93,"learning activity"
94,"learning environment"
NA,"collaborative learning"
