"CommR","topKw"
1,"collaborative learning"
2,"design process"
3,"learning community"
4,"learning environment"
7,"learning outcome"
8,"learning activity"
9,"problem solving"
10,"middle school"
11,"professional development"
13,"community practice"
15,"learning environment"
16,"case study"
17,"collaborative learning"
18,"computer supported"
19,"learning environment"
20,"problem-based learning"
21,"collaborative learning"
22,"learning environment"
23,"collaborative work"
24,"preservice teacher"
25,"learning activity"
26,"pilot study"
27,"theoretical framework"
28,"collaborative learning"
29,"learning environment"
30,"design learning"
31,"middle school"
32,"problem solving"
33,"learning science"
34,"learning environment"
35,"empirical study"
36,"science curriculum"
37,"learning environment"
38,"learning environment"
40,"teacher student"
41,"learning environment"
42,"collaborative learning"
43,"student learning"
44,"learning environment"
45,"learning environment"
46,"learning environment"
47,"collaborative activity"
48,"learning environment"
50,"solve problem"
51,"learning environment"
52,"learning environment"
53,"learning environment"
54,"learning context"
55,"learning environment"
56,"learning activity"
57,"community practice"
58,"small group"
59,"learning environment"
60,"learning environment"
61,"learning design"
62,"collaborative learning"
63,"learning science"
64,"small group"
65,"learning setting"
66,"collaborative learning"
67,"theoretical framework"
68,"educational setting"
69,"collaborative problem"
70,"theoretical framework"
71,"collaborative learning"
72,"middle school"
73,"knowledge building"
74,"research design"
75,"community practice"
76,"learning environment"
NA,"learning environment"
