"CommR","topKw"
1,"learning science"
2,"case study"
3,"high school"
4,"case study"
5,"learning science"
6,"collaborative learning"
7,"concept map"
8,"middle school"
9,"science education"
10,"learning environment"
11,"middle school"
12,"learning environment"
13,"learning science"
14,"learning environment"
15,"case study"
16,"learning environment"
17,"case study"
18,"prior knowledge"
19,"student learning"
20,"collaborative learning"
21,"conceptual understanding"
22,"professional development"
23,"learning science"
24,"learning environment"
25,"collaborative process"
26,"pre-service teacher"
27,"preservice teacher"
28,"experimental study"
29,"online discussion"
30,"problem solving"
31,"content knowledge"
32,"student learning"
33,"learning environment"
34,"preservice teacher"
35,"problem solving"
36,"positive effect"
37,"professional development"
38,"content knowledge"
39,"high school"
41,"exploratory study"
42,"teacher use"
43,"science education"
44,"content knowledge"
45,"learning environment"
46,"virtual environment"
47,"professional development"
49,"learning environment"
50,"community practice"
51,"learning process"
52,"problem solving"
54,"learning community"
55,"learning community"
56,"learning environment"
57,"learning environment"
58,"social interaction"
59,"student teacher"
60,"student learning"
62,"professional development"
63,"preservice teacher"
64,"student learning"
68,"engineering design"
69,"learning environment"
70,"learning environment"
71,"student teacher"
72,"learning environment"
73,"learning environment"
74,"learning environment"
75,"learning environment"
76,"student teacher"
77,"learning gain"
78,"knowledge forum"
79,"learning environment"
80,"learning environment"
82,"qualitative study"
83,"science education"
84,"meaning making"
85,"learning environment"
86,"problem solving"
87,"learning environment"
88,"research practice"
89,"empirical study"
91,"case study"
92,"learning process"
93,"design project"
94,"shared understanding"
95,"science education"
98,"learning environment"
99,"network analysis"
100,"learning science"
101,"student learning"
102,"learning environment"
103,"high school"
104,"student learning"
105,"high school"
106,"community practice"
107,"student learning"
108,"learning environment"
110,"learning environment"
111,"learning science"
112,"student learning"
113,"young child"
114,"case study"
115,"learning environment"
116,"high school"
117,"community practice"
118,"science classroom"
119,"science education"
120,"learning environment"
121,"learning science"
122,"teacher student"
123,"learning science"
124,"preservice teacher"
125,"teacher use"
126,"college student"
127,"mathematics education"
128,"problem solving"
129,"learning environment"
130,"professional development"
131,"school science"
132,"learning community"
133,"learning community"
134,"science education"
135,"formative assessment"
136,"student learning"
137,"real world"
139,"student work"
NA,"learning science"
