"CommR","topKw"
1,"knowledge building"
2,"learning environment"
3,"learning environment"
4,"collaborative learning"
5,"collaborative learning"
6,"learning environment"
7,"high school"
8,"learning gain"
9,"online course"
10,"learning environment"
12,"learning design"
13,"collaborative learning"
14,"design-based research"
15,"high school"
16,"online discourse"
17,"learning environment"
18,"support learning"
19,"case study"
20,"collaborative learning"
21,"learning environment"
23,"learning science"
24,"learning process"
25,"case study"
26,"case study"
27,"learning environment"
29,"case study"
30,"collaborative learning"
32,"collaborative learning"
33,"small group"
34,"student engagement"
36,"case study"
37,"situated learning"
39,"climate change"
40,"collaborative problem"
41,"problem solving"
42,"middle school"
43,"group work"
44,"middle school"
45,"collaborative learning"
47,"collaborative learning"
48,"case study"
49,"network analysis"
50,"student collaborative"
51,"designed support"
52,"collaborative learning"
53,"collaborative learning"
54,"supported collaborative"
55,"knowledge building"
56,"student learning"
57,"learning environment"
58,"network analysis"
59,"young people"
61,"collaborative learning"
65,"support teacher"
66,"online course"
68,"social network"
69,"student teacher"
70,"collaborative learning"
71,"online learning"
72,"high school"
74,"case study"
75,"group work"
76,"case study"
78,"collaborative learning"
79,"preliminary finding"
81,"collaborative learning"
82,"online discussion"
83,"middle school"
84,"learning environment"
85,"learning environment"
86,"collaborative learning"
87,"learning environment"
88,"student learning"
89,"learning community"
90,"content analysis"
91,"student collaborative"
92,"science inquiry"
93,"group work"
94,"collaborative learning"
95,"learning community"
96,"online discussion"
97,"learning experience"
98,"support teacher"
99,"learning environment"
101,"learning environment"
102,"collaborative learning"
103,"learning environment"
104,"student learning"
105,"case study"
106,"preservice teacher"
107,"student engagement"
109,"learning science"
110,"case study"
111,"educational technology"
112,"learning activity"
114,"learning environment"
115,"collaborative learning"
116,"learning environment"
117,"case study"
118,"learning science"
119,"computational thinking"
120,"case study"
121,"pre-service teacher"
122,"learning process"
123,"case study"
124,"learning environment"
125,"discourse analysis"
126,"learning environment"
127,"collaborative activity"
128,"collaborative learning"
129,"collaborative learning"
130,"learning environment"
131,"middle school"
NA,"collaborative learning"
