"CommR","topKw"
1,"learning science"
2,"collaborative learning"
3,"learning science"
4,"learning environment"
5,"middle school"
6,"design-based research"
7,"collaborative learning"
8,"high school"
9,"collaborative learning"
11,"high school"
12,"middle school"
13,"preliminary result"
14,"collaborative learning"
15,"learning environment"
16,"learning environment"
17,"learning environment"
18,"young child"
20,"learning environment"
21,"knowledge building"
22,"middle school"
23,"learning environment"
25,"professional development"
26,"knowledge building"
27,"high school"
28,"professional development"
29,"learning environment"
30,"science education"
31,"learning environment"
32,"conceptual understanding"
33,"learning environment"
34,"learning environment"
35,"learning environment"
36,"design learning"
38,"prior knowledge"
40,"student learning"
41,"learning environment"
42,"climate change"
43,"qualitative analysis"
44,"science learning"
45,"student work"
46,"problem solving"
47,"collaborative learning"
48,"learning environment"
49,"knowledge building"
51,"design principle"
52,"learning environment"
54,"learning environment"
55,"network analysis"
56,"learning environment"
57,"problem solving"
58,"research practice"
59,"student work"
60,"learning environment"
62,"professional development"
63,"high school"
64,"learning activity"
65,"learning science"
66,"online course"
67,"learning environment"
68,"case study"
69,"21st century"
70,"design-based research"
71,"learning environment"
72,"learning environment"
73,"learning environment"
74,"case study"
75,"problem solving"
76,"learning process"
77,"learning environment"
78,"student learning"
79,"learning environment"
80,"middle school"
81,"learning environment"
82,"learning environment"
83,"science class"
84,"knowledge building"
85,"learning environment"
86,"collaborative work"
88,"learning environment"
89,"learning environment"
91,"science instruction"
92,"learning environment"
93,"conceptual change"
94,"problem-based learning"
95,"learning environment"
96,"knowledge construction"
97,"complex system"
99,"student teacher"
100,"learning environment"
101,"learning community"
102,"pre-service teacher"
NA,"student learning"
