"CommR","topKw"
1,"collaboration script"
2,"learning science"
3,"learning environment"
4,"collaborative learning"
5,"experimental study"
6,"collaborative learning"
7,"learning environment"
8,"group discussion"
10,"group discussion"
11,"student learning"
12,"collaborative learning"
13,"small group"
14,"knowledge building"
15,"learning activity"
16,"collaborative learning"
17,"collaborative learning"
18,"graduate student"
19,"empirical study"
20,"student teacher"
21,"online learning"
22,"learning environment"
23,"student engaged"
24,"learning environment"
25,"online discussion"
26,"collaborative learning"
28,"virtual environment"
30,"high school"
31,"collaborative learning"
32,"case study"
33,"high school"
34,"learning environment"
36,"knowledge acquisition"
37,"problem solving"
38,"problem solving"
39,"network analysis"
41,"learning environment"
42,"collaborative activity"
43,"science classroom"
46,"classroom practice"
47,"collaborative learning"
48,"problem solving"
49,"learning environment"
50,"online course"
51,"collaborative learning"
53,"knowledge building"
54,"collaborative learning"
55,"online discussion"
56,"knowledge building"
57,"educational setting"
58,"shared understanding"
60,"middle school"
61,"professional development"
62,"collaborative learning"
63,"learning environment"
64,"collaborative activity"
65,"collaborative learning"
66,"learning environment"
67,"network analysis"
70,"learning environment"
71,"discourse analysis"
72,"learning environment"
73,"learning environment"
74,"learning environment"
75,"learning environment"
76,"knowledge building"
77,"knowledge skill"
78,"learning science"
79,"learning environment"
80,"learning environment"
81,"problem solving"
82,"knowledge building"
83,"learning environment"
84,"teacher education"
85,"social network"
86,"learning activity"
87,"small group"
89,"collaborative learning"
90,"interaction analysis"
91,"preservice teacher"
92,"community practice"
93,"classroom activity"
94,"learning activity"
95,"learning process"
96,"social network"
97,"collaboration script"
98,"high school"
99,"collaborative learning"
100,"knowledge building"
101,"learning environment"
103,"group member"
104,"online discussion"
105,"learning outcome"
106,"case study"
107,"learning environment"
108,"collaborative interaction"
NA,"collaborative learning"
