"CommR","topKw"
1,"collaborative learning"
2,"knowledge building"
3,"learning environment"
5,"collaborative learning"
6,"collaborative learning"
7,"learning environment"
8,"design principle"
9,"prior knowledge"
11,"learning environment"
12,"virtual world"
13,"classroom discourse"
14,"learning environment"
15,"learning environment"
16,"social interaction"
17,"preliminary result"
18,"learning environment"
19,"learning community"
20,"interaction analysis"
21,"learning environment"
22,"science learning"
24,"learning environment"
25,"network analysis"
26,"learning environment"
27,"collaborative learning"
29,"teacher student"
31,"problem solving"
32,"problem solving"
33,"collaborative learning"
34,"computer-supported collaborative"
35,"knowledge building"
36,"learning environment"
37,"learning environment"
38,"online learning"
39,"design principle"
40,"collaborative learning"
41,"learning activity"
42,"collaborative learning"
44,"knowledge building"
45,"learning community"
46,"collaborative learning"
47,"collaborative learning"
48,"collaborative learning"
49,"computer supported"
50,"learning environment"
51,"knowledge skill"
52,"collaborative learning"
53,"knowledge skill"
54,"learning environment"
55,"learning environment"
NA,"collaborative learning"
