"CommR","topKw"
1,"collaborative learning"
2,"knowledge creation"
3,"collaboration script"
4,"learning environment"
5,"collaborative learning"
6,"supported collaborative"
7,"learning environment"
8,"learning environment"
9,"learning environment"
11,"learning environment"
12,"collaborative learning"
14,"collaborative learning"
15,"case study"
17,"student collaborative"
18,"group learning"
19,"online discussion"
20,"collaborative learning"
21,"network analysis"
22,"learning environment"
23,"primary school"
25,"student work"
26,"learning environment"
27,"collaborative learning"
28,"collaborative learning"
29,"learning science"
30,"learning process"
31,"science curriculum"
32,"learning environment"
33,"learning environment"
35,"collaborative learning"
36,"student learning"
37,"collaboration script"
40,"group member"
43,"learning activity"
45,"content analysis"
46,"collaborative learning"
48,"online discourse"
49,"collaborative learning"
50,"case study"
51,"student collaborative"
52,"collaborative learning"
53,"professional development"
55,"problem solving"
57,"learning process"
58,"experimental study"
59,"qualitative analysis"
60,"design project"
61,"learning process"
62,"social interaction"
64,"collaborative learning"
65,"learning environment"
70,"collaborative learning"
71,"learning environment"
72,"group student"
74,"knowledge construction"
76,"learning environment"
77,"student collaborative"
78,"learning process"
79,"professional development"
80,"collaborative learning"
81,"online discussion"
82,"learning activity"
83,"learning environment"
84,"case study"
85,"informal learning"
86,"collaborative learning"
87,"student collaborative"
88,"collaborative learning"
89,"learning environment"
90,"student learning"
91,"social network"
92,"student learning"
93,"learning environment"
94,"community practice"
95,"collaborative learning"
96,"classroom student"
97,"field study"
98,"collaborative learning"
NA,"collaborative learning"
