"CommR","topKw"
1,"student learning"
2,"learning environment"
3,"learning environment"
4,"student learning"
10,"qualitative analysis"
11,"learning environment"
12,"learning experience"
13,"learning environment"
14,"collaborative learning"
15,"experimental study"
16,"student learning"
17,"learning gain"
18,"collaborative learning"
19,"learning environment"
20,"community practice"
21,"knowledge building"
22,"learning science"
24,"learning outcome"
25,"case study"
28,"group student"
29,"support learner"
30,"learning activity"
31,"small group"
32,"collaborative learning"
34,"learning environment"
35,"collaborative learning"
36,"student learning"
37,"research design"
38,"design-based research"
39,"learning environment"
41,"conceptual understanding"
42,"collaborative learning"
43,"learning environment"
44,"learning community"
45,"learning outcome"
47,"middle school"
48,"collaborative learning"
49,"student learning"
50,"social medium"
52,"learning environment"
53,"problem solving"
NA,"collaborative learning"
