"CommR","topKw"
1,"knowledge building"
2,"collaborative learning"
3,"virtual reality"
4,"learning environment"
5,"middle school"
6,"problem solving"
7,"learning environment"
9,"professional development"
10,"case study"
11,"learning environment"
12,"learning environment"
13,"conceptual understanding"
14,"learning environment"
15,"problem solving"
17,"middle school"
19,"knowledge building"
20,"collaborative learning"
22,"collaborative learning"
23,"pre-service teacher"
24,"collaborative learning"
25,"collaborative learning"
26,"learning environment"
27,"collaborative learning"
28,"learning context"
29,"qualitative analysis"
30,"student learning"
31,"student learning"
32,"collaborative learning"
33,"network analysis"
34,"learning environment"
35,"middle school"
36,"collaborative learning"
37,"collaborative learning"
39,"middle school"
40,"collaborative learning"
41,"complex system"
43,"case study"
44,"knowledge construction"
45,"teacher learning"
46,"collaborative learning"
47,"case study"
49,"collaborative learning"
50,"learning environment"
51,"research development"
52,"collaborative learning"
53,"case study"
54,"case study"
56,"theoretical framework"
57,"high school"
58,"learning environment"
59,"middle school"
60,"learning environment"
61,"ethnographic study"
62,"high school"
63,"learning experience"
64,"knowledge building"
65,"collaborative learning"
66,"online discussion"
67,"middle school"
68,"problem solving"
69,"university student"
70,"collaborative learning"
71,"learning environment"
72,"learning environment"
73,"high school"
74,"science education"
75,"social network"
76,"ethnographic study"
NA,"collaborative learning"
